Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.43     0.00    26196     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >::max_size() const
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree_iterator<std::pair<float const, entityx::Entity> >::operator*() const
  0.00      0.43     0.00    26196     0.00     0.00  std::function<void (entityx::Entity, SpatialData&)>::operator()(entityx::Entity, SpatialData&) const
  0.00      0.43     0.00    26196     0.00     0.00  std::function<void (entityx::Entity, SpatialData&, Renderable&)>::operator()(entityx::Entity, SpatialData&, Renderable&) const
  0.00      0.43     0.00    26196     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > > >::deallocate(std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >&, std::_Rb_tree_node<std::pair<float const, entityx::Entity> >*, unsigned long long)
  0.00      0.43     0.00    26196     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > > >::destroy<std::pair<float const, entityx::Entity> >(std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >&, std::pair<float const, entityx::Entity>*)
  0.00      0.43     0.00    26196     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > > >::allocate(std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >&, unsigned long long)
  0.00      0.43     0.00    26196     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > > >::construct<std::pair<float const, entityx::Entity>, float, entityx::Entity&>(std::allocator<std::_Rb_tree_node<std::pair<float const, entityx::Entity> > >&, std::pair<float const, entityx::Entity>*, float&&, entityx::Entity&)
  0.00      0.43     0.00    26196     0.00     0.00  std::_Rb_tree_iterator<std::pair<float const, entityx::Entity> >::operator++()
  0.00      0.43     0.00    26196     0.00     0.00  std::pair<float const, entityx::Entity>::pair<float, entityx::Entity&, true>(float&&, entityx::Entity&)
